Date / Time, _IO_EM_DI_00, _IO_EM_DI_01, _IO_P3_AI_00, _IO_P3_AI_01, TEMP_Scaled_Value, _IO_P2_AO_00, _IO_P2_AO_01, _IO_EM_DO_00, _IO_EM_DO_01
2022-03-03/15:37:00.929816, False, False, 20920, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:01.482726, False, False, 20920, 33451, 79.82353973388672, 65535, 65535, False, False
2022-03-03/15:37:02.045418, False, False, 20923, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:02.602623, False, False, 20921, 33445, 79.79882049560547, 65535, 65535, False, False
2022-03-03/15:37:03.151447, False, False, 20922, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:03.696915, False, False, 20919, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:04.229265, False, False, 20921, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:04.767564, False, False, 20920, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:05.318895, False, False, 20923, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:05.860609, False, False, 20921, 33449, 79.81529998779297, 65535, 65535, False, False
2022-03-03/15:37:06.420457, False, False, 20920, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:06.974740, False, False, 20921, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:07.517972, False, False, 20919, 33467, 79.88945007324219, 65535, 65535, False, False
2022-03-03/15:37:08.057574, False, False, 20919, 33449, 79.81529998779297, 65535, 65535, False, False
2022-03-03/15:37:08.602829, False, False, 20919, 33454, 79.83589935302734, 65535, 65535, False, False
2022-03-03/15:37:09.164676, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:09.721813, False, False, 20919, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:10.268434, False, False, 20921, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:10.829890, False, False, 20920, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:11.379707, False, False, 20921, 33449, 79.81529998779297, 65535, 65535, False, False
2022-03-03/15:37:11.929804, False, False, 20921, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:12.481452, False, False, 20922, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:13.024155, False, False, 20920, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:13.584433, False, False, 20921, 33450, 79.81941986083984, 65535, 65535, False, False
2022-03-03/15:37:14.152307, False, False, 20922, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:14.700419, False, False, 20923, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:15.242184, False, False, 20921, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:37:15.790038, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:16.352854, False, False, 20921, 33467, 79.88945007324219, 65535, 65535, False, False
2022-03-03/15:37:16.911194, False, False, 20923, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:17.453012, False, False, 20924, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:18.009028, False, False, 20920, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:18.570877, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:19.119899, False, False, 20921, 33454, 79.83589935302734, 65535, 65535, False, False
2022-03-03/15:37:19.653162, False, False, 20923, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:20.186123, False, False, 20923, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:20.739651, False, False, 20924, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:21.278822, False, False, 20923, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:21.814470, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:22.354871, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:22.914229, False, False, 20921, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:37:23.478223, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:24.024625, False, False, 20911, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:37:24.563993, False, False, 20920, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:25.120600, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:25.674884, False, False, 20924, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:26.216703, False, False, 20921, 33466, 79.88533020019531, 65535, 65535, False, False
2022-03-03/15:37:26.756364, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:27.306175, False, False, 20922, 33451, 79.82353973388672, 65535, 65535, False, False
2022-03-03/15:37:27.854241, False, False, 20918, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:28.404727, False, False, 20922, 33473, 79.91416931152344, 65535, 65535, False, False
2022-03-03/15:37:28.964693, False, False, 20920, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:29.518927, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:30.065577, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:30.616807, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:31.152758, False, False, 20920, 33450, 79.81941986083984, 65535, 65535, False, False
2022-03-03/15:37:31.712786, False, False, 20920, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:37:32.270361, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:32.823196, False, False, 20921, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:33.357277, False, False, 20921, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:37:33.901424, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:34.444481, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:34.992455, False, False, 20919, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:37:35.529370, False, False, 20922, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:36.078028, False, False, 20920, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:36.632354, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:37.171366, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:37.711621, False, False, 20922, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:38.255635, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:38.804546, False, False, 20922, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:37:39.364523, False, False, 20923, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:39.917434, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:40.472594, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:41.022183, False, False, 20923, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:41.570723, False, False, 20919, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:37:42.109320, False, False, 20921, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:42.662767, False, False, 20923, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:43.221448, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:43.779072, False, False, 20920, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:44.319196, False, False, 20923, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:44.865005, False, False, 20922, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:45.424119, False, False, 20921, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:37:45.985469, False, False, 20921, 33449, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:46.530577, False, False, 20920, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:47.085460, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:47.630332, False, False, 20921, 33448, 79.8111801147461, 65535, 65535, False, False
2022-03-03/15:37:48.171055, False, False, 20922, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:48.721023, False, False, 20920, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:49.274327, False, False, 20920, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:37:49.847115, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:50.414961, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:50.972779, False, False, 20921, 33483, 79.95536804199219, 65535, 65535, False, False
2022-03-03/15:37:51.518739, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:52.072438, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:52.628766, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:53.180380, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:53.732830, False, False, 20921, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:54.287561, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:54.832646, False, False, 20920, 33463, 79.87297058105469, 65535, 65535, False, False
2022-03-03/15:37:55.372310, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:55.912780, False, False, 20922, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:56.462187, False, False, 20923, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:57.026512, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:57.584379, False, False, 20921, 33447, 79.80706024169922, 65535, 65535, False, False
2022-03-03/15:37:58.122319, False, False, 20919, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:37:58.668669, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:37:59.216741, False, False, 20921, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:37:59.770220, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:00.312622, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:00.866030, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:01.408980, False, False, 20920, 33456, 79.84413146972656, 65535, 65535, False, False
2022-03-03/15:38:01.972125, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:02.509472, False, False, 20920, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:38:03.056843, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:03.623706, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:04.177324, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:04.711515, False, False, 20922, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:05.276387, False, False, 20921, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:38:05.854884, False, False, 20922, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:06.396777, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:06.924891, False, False, 20922, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:07.478891, False, False, 20922, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:08.023051, False, False, 20923, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:38:08.566245, False, False, 20920, 33468, 79.89356994628906, 65535, 65535, False, False
2022-03-03/15:38:09.113262, False, False, 20920, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:38:09.676618, False, False, 20921, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:38:10.218741, False, False, 20919, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:10.772907, False, False, 20923, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:11.314506, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:11.858984, False, False, 20922, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:38:12.422488, False, False, 20920, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:12.975077, False, False, 20922, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:38:13.522947, False, False, 20921, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:38:14.078056, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:14.622157, False, False, 20920, 33489, 79.98008728027344, 65535, 65535, False, False
2022-03-03/15:38:15.181547, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:15.725841, False, False, 20921, 33471, 79.90592956542969, 65535, 65535, False, False
2022-03-03/15:38:16.260421, False, False, 20920, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:16.825584, False, False, 20921, 33469, 79.89768981933594, 65535, 65535, False, False
2022-03-03/15:38:17.380914, False, False, 20920, 33490, 79.98420715332031, 65535, 65535, False, False
2022-03-03/15:38:17.921848, False, False, 20922, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:18.459896, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:19.001363, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:19.547182, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:20.110031, False, False, 20921, 33470, 79.90180969238281, 65535, 65535, False, False
2022-03-03/15:38:20.660599, False, False, 20921, 33490, 79.98420715332031, 65535, 65535, False, False
2022-03-03/15:38:21.202999, False, False, 20921, 33493, 79.99656677246094, 65535, 65535, False, False
2022-03-03/15:38:21.748249, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:22.287407, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:22.827347, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:23.379118, False, False, 20919, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:23.926842, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:24.476593, False, False, 20923, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:25.023882, False, False, 20921, 33477, 79.93064880371094, 65535, 65535, False, False
2022-03-03/15:38:25.581977, False, False, 20915, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:26.132137, False, False, 20918, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:26.677306, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:27.217658, False, False, 20920, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:27.772149, False, False, 20923, 33494, 80.00068664550781, 65535, 65535, False, False
2022-03-03/15:38:28.320459, False, False, 20921, 33490, 79.98420715332031, 65535, 65535, False, False
2022-03-03/15:38:28.862165, False, False, 20922, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:29.401509, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:29.950071, False, False, 20921, 33492, 79.99244689941406, 65535, 65535, False, False
2022-03-03/15:38:30.505089, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:31.061086, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:31.600058, False, False, 20923, 33472, 79.91004943847656, 65535, 65535, False, False
2022-03-03/15:38:32.147722, False, False, 20921, 33491, 79.98832702636719, 65535, 65535, False, False
2022-03-03/15:38:32.707063, False, False, 20919, 33489, 79.98008728027344, 65535, 65535, False, False
2022-03-03/15:38:33.254225, False, False, 20921, 33490, 79.98420715332031, 65535, 65535, False, False
